"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","weight","weight.age","EPb","WPb","NestID","help.ep"
"1","574535-GrwB2",1988,"Died",NA,1,0,"543809-ORB",NA,"529306-BGG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"ORB_45",0.0273224043715847,"one","No",6.7,NA,NA,NA,"ORB_45",NA
"2","574536-MrwB2",1988,"Died",NA,1,0,"543809-ORB",NA,"529306-BGG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"ORB_45",0.0273224043715847,"one","No",5.8,NA,NA,NA,"ORB_45",NA
"3","574537-OrwB2",1988,"Died",NA,1,0,"543809-ORB",NA,"529306-BGG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"ORB_45",0.0273224043715847,"one","No",6.6,NA,NA,NA,"ORB_45",NA
"4","574549-RrwR3",1988,"Died",NA,0,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_41",0.136612021857924,"none","No",4.8,NA,NA,NA,"RBB_41",NA
"5","574550-MrwR2",1988,"Died",NA,0,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_41",0.136612021857924,"none","No",4.9,NA,NA,NA,"RBB_41",NA
"6","574551-GrwR2",1988,"Died",NA,0,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_41",0.136612021857924,"none","No",4.9,NA,NA,NA,"RBB_41",NA
"7","574552-BrwR2",1988,"Died",NA,0,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_41",0.136612021857924,"none","No",4.2,NA,NA,NA,"RBB_41",NA
"8","574562-GbwO",1988,"Died",NA,0,0,"543774-MMY",2,"568373-BMR",NA,NA,NA,"U",0,0,0,0,5,NA,NA,2.85714285714286,3.5,NA,-0.857142857142857,NA,NA,NA,"MMY_34",0.158469945355191,"none","No",7.6,NA,NA,NA,"MMY_34",NA
"9","574563-RbwO1",1988,"Died",NA,0,0,"543774-MMY",2,"568373-BMR",NA,NA,NA,"U",0,0,0,0,5,NA,NA,2.85714285714286,3.5,NA,-0.857142857142857,NA,NA,NA,"MMY_34",0.158469945355191,"none","No",7.2,NA,NA,NA,"MMY_34",NA
"10","574567-BrwM2",1988,"Died",NA,0,0,"574748-NGB",1,"574747-NRR",NA,NA,NA,"U",0,0,0,0,2,NA,NA,1,3.5,NA,0,NA,NA,NA,"NGB_93",0.185792349726776,"none","No",8.3,NA,NA,NA,"NGB_93",NA
"11","574568-GrwM2",1988,"Died",NA,0,0,"574748-NGB",1,"574747-NRR",NA,NA,NA,"U",0,0,0,0,2,NA,NA,1,3.5,NA,0,NA,NA,NA,"NGB_93",0.185792349726776,"none","No",8,NA,NA,NA,"NGB_93",NA
"12","574569-OowB",1988,"Died",3,1,1,"574800-GRY",NA,"574502-GBN",NA,NA,NA,"M",0,0,0,2,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRY_120",0.19672131147541,"twoPlus","No",7.8,NA,NA,NA,"GRY_120",NA
"13","574576-NbwB2",1988,"Died",NA,0,0,"574744-BNM",NA,"476401-ROW",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BNM_85",0.240437158469945,"twoPlus","No",7,NA,NA,NA,"BNM_85",NA
"14","574577-GbwB2",1988,"Died",NA,0,0,"574744-BNM",NA,"476401-ROW",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BNM_85",0.240437158469945,"twoPlus","No",7.1,NA,NA,NA,"BNM_85",NA
"15","574578-YbwB2",1988,"Died",NA,0,0,"574744-BNM",NA,"476401-ROW",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BNM_85",0.240437158469945,"twoPlus","No",6.3,NA,NA,NA,"BNM_85",NA
"16","574579-OSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,NA,NA,"M",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BYN_95",0.240437158469945,"one","No",8.7,NA,NA,NA,"BYN_95",NA
"17","574580-GSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,"574775-MMB",NA,"F",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","BYN_95",0.240437158469945,"one","No",8.1,NA,0,1,"BYN_95",NA
"18","574581-BSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,NA,NA,"F",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BYN_95",0.240437158469945,"one","No",8.4,NA,NA,NA,"BYN_95",NA
"19","574582-RSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,"574775-MMB",NA,"F",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","BYN_95",0.240437158469945,"one","No",8.6,NA,0,1,"BYN_95",NA
"20","574583-MRSn",1988,"Died",NA,1,0,"574785-MOR",NA,"574784-MBG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MOR_110",0.213114754098361,"one","No",NA,NA,NA,NA,"MOR_110",NA
"21","574584-YRSn",1988,"Died",NA,1,0,"574785-MOR",NA,"574784-MBG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MOR_110",0.213114754098361,"one","No",NA,NA,NA,NA,"MOR_110",NA
"22","574585-GRSn",1988,"Died",NA,1,0,"574785-MOR",NA,"574784-MBG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MOR_110",0.213114754098361,"one","No",NA,NA,NA,NA,"MOR_110",NA
"23","574596-RrwR2",1988,"Died",NA,0,0,"596762-RYN",NA,"525597-YBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RYN_124",0.278688524590164,"none","No",7.5,8,NA,NA,"RYN_124",NA
"24","574635-RowM",1988,"Died",NA,0,0,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_63",0.311475409836066,"twoPlus","No",6.7,7,NA,NA,"OGN_63",NA
"25","574636-GowM",1988,"Died",NA,0,0,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_63",0.311475409836066,"twoPlus","No",5.8,7,NA,NA,"OGN_63",NA
"26","574638-NowM",1988,"Died",NA,0,0,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_63",0.311475409836066,"twoPlus","No",5.8,7,NA,NA,"OGN_63",NA
"27","574639-YnyR2",1988,"Died",NA,1,1,"574782-MGO",NA,NA,NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MGO_109",0.333333333333333,"none","No",8.6,7,NA,NA,"MGO_109",NA
"28","574641-BnyR2",1988,"Died",NA,1,0,"574782-MGO",NA,NA,NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MGO_109",0.333333333333333,"none","No",9.2,7,NA,NA,"MGO_109",NA
"29","596602-YowR",1988,"Died",NA,1,0,"574794-GRN",NA,"543779-GNG",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRN_116",0.349726775956284,"one","No",7.1,7,NA,NA,"GRN_116",NA
"30","596603-GowR",1988,"Died",6,1,1,"574794-GRN",NA,"543779-GNG",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRN_116",0.349726775956284,"one","No",7.6,7,NA,NA,"GRN_116",NA
"31","596610-BynG",1988,"Died",5,1,1,"574741-BRN",NA,"543780-RGY",NA,NA,NA,"M",0,0,0,3,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BRN_82",0.355191256830601,"twoPlus","No",6.9,7,NA,NA,"BRN_82",NA
"32","596612-GNW",1988,"Died",5,1,1,"574741-BRN",NA,"543780-RGY",NA,NA,NA,"M",3,2,1,4,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BRN_82",0.355191256830601,"twoPlus","No",6.4,7,NA,NA,"BRN_82",NA
"33","596613-NmwM",1988,"Died",NA,1,1,"574748-NGB",1,"574747-NRR",NA,NA,NA,"U",0,0,0,1,2,NA,NA,1,3.5,NA,0,NA,NA,NA,"NGB_94",0.355191256830601,"none","No",8.3,7,NA,NA,"NGB_94",NA
"34","596614-MmwM2",1988,"Died",NA,1,0,"574748-NGB",1,"574747-NRR",NA,NA,NA,"U",0,0,0,0,2,NA,NA,1,3.5,NA,0,NA,NA,NA,"NGB_94",0.355191256830601,"none","No",7.6,7,NA,NA,"NGB_94",NA
"35","596616-RmwG",1988,"Died",NA,0,0,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_79",0.360655737704918,"one","No",7.9,8,NA,NA,"YBO_79",NA
"36","596617-BmwG",1988,"Died",NA,0,0,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_79",0.360655737704918,"one","No",9,8,NA,NA,"YBO_79",NA
"37","596618-YmwG",1988,"Died",NA,0,0,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_79",0.360655737704918,"one","No",8.7,8,NA,NA,"YBO_79",NA
"38","596619-OmwG",1988,"Died",NA,0,0,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_79",0.360655737704918,"one","No",6.8,8,NA,NA,"YBO_79",NA
"39","596626-RbwN2",1988,"Died",NA,1,1,"529303-BGY",NA,"476417-BGB",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BGY_24",0.366120218579235,"twoPlus","No",8.5,7,NA,NA,"BGY_24",NA
"40","596638-OrwR2",1988,"Died",NA,1,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_43",0.387978142076503,"none","No",7,7,NA,NA,"RBB_43",NA
"41","596639-NgwO2",1988,"Died",NA,1,1,"476408-MMN",NA,"490363-OMN",4,NA,NA,"F",0,0,0,1,NA,NA,8,NA,3.5,5.34615384615385,NA,NA,-1.34615384615385,NA,"MMN_7",0.39344262295082,"twoPlus","No",8,7,NA,NA,"MMN_7",NA
"42","596640-GWO",1988,"Died",6,1,1,"476408-MMN",NA,"490363-OMN",4,"529315-OBY",2,"M",0,0,0,2,NA,7,8,NA,4.26666666666667,5.34615384615385,NA,-2.26666666666667,-1.34615384615385,"yes","MMN_7",0.39344262295082,"twoPlus","No",9.1,7,1,0,"MMN_7",NA
"43","596643-RbwG2",1988,"Died",NA,0,0,"574761-MRG",1,"511361-YGY",NA,NA,NA,"U",0,0,0,0,4,NA,NA,1.61538461538462,3.5,NA,-0.615384615384615,NA,NA,NA,"MRG_102",0.415300546448087,"twoPlus","No",6.7,7,NA,NA,"MRG_102",NA
"44","596644-NbwG2",1988,"Died",NA,0,0,"574761-MRG",1,"511361-YGY",NA,NA,NA,"U",0,0,0,0,4,NA,NA,1.61538461538462,3.5,NA,-0.615384615384615,NA,NA,NA,"MRG_102",0.415300546448087,"twoPlus","No",8,7,NA,NA,"MRG_102",NA
"45","596645-YbwG2",1988,"Died",NA,0,0,"574761-MRG",1,"511361-YGY",NA,NA,NA,"U",0,0,0,0,4,NA,NA,1.61538461538462,3.5,NA,-0.615384615384615,NA,NA,NA,"MRG_102",0.415300546448087,"twoPlus","No",7.6,7,NA,NA,"MRG_102",NA
"46","596659-BbwB2",1988,"Died",NA,0,0,"574744-BNM",NA,"476401-ROW",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BNM_86",0.448087431693989,"twoPlus","No",9,8,NA,NA,"BNM_86",NA
"47","596661-GOY",1988,"Died",NA,1,1,"596664-BBN",NA,"574763-RMB",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BBN_122",NA,"none","No",NA,NA,NA,NA,"BBN_122",NA
"48","596665-MRB",1988,"Died",NA,1,1,"596664-BBN",NA,"574763-RMB",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BBN_122",NA,"none","No",NA,NA,NA,NA,"BBN_122",NA
"49","596668-MrwY2",1988,"Died",NA,0,0,"596762-RYN",NA,"525597-YBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RYN_125",0.453551912568306,"none","No",7.2,7,NA,NA,"RYN_125",NA
"50","596669-GrwY2",1988,"Died",NA,0,0,"596762-RYN",NA,"525597-YBB",NA,NA,NA,"U",0,0,0,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RYN_125",0.453551912568306,"none","No",7.7,7,NA,NA,"RYN_125",NA
"51","596683-NNG",1988,"Died",3,1,1,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"M",0,0,0,2,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_64",0.497267759562842,"twoPlus","No",8.1,8,NA,NA,"OGN_64",NA
"52","596684-RRW",1988,"Died",5,1,1,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"M",0,0,0,3,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_64",0.497267759562842,"twoPlus","No",7.7,8,NA,NA,"OGN_64",NA
"53","596685-MybG",1988,"Died",6,1,1,"574513-OGN",NA,"478196-GBB",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"OGN_64",0.497267759562842,"twoPlus","No",7.4,8,NA,NA,"OGN_64",NA
"54","596687-GynB",1988,"Died",3,1,1,"543774-MMY",2,"568373-BMR",NA,NA,NA,"M",0,0,0,2,5,NA,NA,2.85714285714286,3.5,NA,-0.857142857142857,NA,NA,NA,"MMY_37",0.530054644808743,"none","No",8.7,8,NA,NA,"MMY_37",NA
"55","596688-OynB",1988,"Died",6,1,1,"543774-MMY",2,"568373-BMR",NA,NA,NA,"M",2,0,0,5,5,NA,NA,2.85714285714286,3.5,NA,-0.857142857142857,NA,NA,NA,"MMY_37",0.530054644808743,"none","No",8.6,8,NA,NA,"MMY_37",NA
"56","596689-MyrG",1988,"Died",NA,1,1,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_80",0.530054644808743,"one","No",8.8,7,NA,NA,"YBO_80",NA
"57","596690-NyrG",1988,"Died",NA,1,1,"574728-YBO",NA,"574504-GRO",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"YBO_80",0.530054644808743,"one","No",9,7,NA,NA,"YBO_80",NA
"58","596692-RynY2",1988,"Died",NA,1,1,"574779-RMN",NA,"478200-GMG",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RMN_106",0.53551912568306,"none","No",7.5,6,NA,NA,"RMN_106",NA
"59","596693-MynY",1988,"Died",3,1,1,"574779-RMN",NA,"478200-GMG",NA,NA,NA,"M",0,0,0,3,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RMN_106",0.53551912568306,"none","No",7.7,6,NA,NA,"RMN_106",NA
"60","596694-OynY",1988,"Died",NA,1,0,"574779-RMN",NA,"478200-GMG",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RMN_106",0.53551912568306,"none","No",7.4,6,NA,NA,"RMN_106",NA
"61","596695-BgyG",1988,"Died",NA,0,0,"543760-BMY1",NA,"476416-BYB",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BMY1_30",0.540983606557377,"one","No",7.2,7,NA,NA,"BMY1_30",NA
"62","596696-OgyG",1988,"Died",NA,0,0,"543760-BMY1",NA,"476416-BYB",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BMY1_30",0.540983606557377,"one","No",6.7,7,NA,NA,"BMY1_30",NA
"63","596700-YOM",1988,"Died",5,1,1,"574748-NGB",1,"574747-NRR",NA,"574775-MMB",NA,"M",0,0,0,4,2,NA,NA,1,NA,NA,0,NA,NA,"yes","NGB_94",0.355191256830601,"none","No",8.2,7,1,0,"NGB_94",NA
"64","596701-GNO",1988,"Died",6,1,1,"574750-BYN",NA,"574775-MMB",NA,NA,NA,"M",38,29,18,10,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BYN_97",0.508196721311475,"one","No",8.6,7,NA,NA,"BYN_97",NA
"65","596705-MgwG2",1988,"Died",NA,1,0,"478206-GBM",NA,NA,NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GBM_21",0.546448087431694,"none","No",7.3,7,NA,NA,"GBM_21",NA
"66","596706-YgwG2",1988,"Died",NA,1,1,"478206-GBM",NA,NA,NA,NA,NA,"F",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GBM_21",0.546448087431694,"none","No",8.2,7,NA,NA,"GBM_21",NA
"67","596707-OgwG2",1988,"Died",NA,1,0,"478206-GBM",NA,NA,NA,NA,NA,"F",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GBM_21",0.546448087431694,"none","No",7.3,7,NA,NA,"GBM_21",NA
"68","596714-ByrB",1988,"Died",NA,1,0,"574785-MOR",NA,"574784-MBG",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MOR_112",0.573770491803279,"one","No",NA,7,NA,NA,"MOR_112",NA
"69","596715-GyrB",1988,"Died",NA,1,1,"574785-MOR",NA,"574784-MBG",NA,NA,NA,"F",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MOR_112",0.573770491803279,"one","No",NA,7,NA,NA,"MOR_112",NA
"70","596719-YbwG1",1988,"Died",NA,0,0,"574761-MRG",1,"511361-YGY",NA,NA,NA,"U",0,0,0,1,4,NA,NA,1.61538461538462,3.5,NA,-0.615384615384615,NA,NA,NA,"MRG_103",0.584699453551913,"twoPlus","No",NA,7,NA,NA,"MRG_103",NA
"71","596722-MOW",1988,"Died",3,1,1,"543826-RGB",NA,"543833-ROO",NA,NA,NA,"M",0,0,0,2,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RGB_53",0.491803278688525,"one","No",NA,NA,NA,NA,"RGB_53",NA
"72","596731-GYM2",1988,"Died",NA,1,1,"574751-NON",1,"476412-BGR",NA,NA,NA,"F",0,0,0,1,4,NA,NA,2.30769230769231,3.5,NA,-1.30769230769231,NA,NA,NA,"NON_100",0.562841530054645,"none","No",NA,NA,NA,NA,"NON_100",NA
"73","596732-RgwM2",1988,"Died",NA,1,1,"543783-ROM",NA,"478208-GYB",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"ROM_40",0.60655737704918,"one","No",8.4,7,NA,NA,"ROM_40",NA
"74","596734-MgwM2",1988,"Died",NA,1,1,"543783-ROM",NA,"478208-GYB",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"ROM_40",0.60655737704918,"one","No",8.2,7,NA,NA,"ROM_40",NA
"75","596735-ObwN2",1988,"Died",NA,1,1,"543762-MMM",NA,"574719-YRN",NA,NA,NA,"F",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MMM_33",0.633879781420765,"one","No",8.6,8,NA,NA,"MMM_33",NA
"76","596736-GbwN2",1988,"Died",NA,1,0,"543762-MMM",NA,"574719-YRN",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MMM_33",0.633879781420765,"one","No",8.9,8,NA,NA,"MMM_33",NA
"77","596737-BbwN2",1988,"Died",NA,1,0,"543762-MMM",NA,"574719-YRN",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"MMM_33",0.633879781420765,"one","No",7.9,8,NA,NA,"MMM_33",NA
"78","596738-YYW",1988,"Died",6,1,1,"574531-NMN",NA,"574532-OOO",NA,"574532-OOO",NA,"M",22,15,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","NMN_67",0.562841530054645,"twoPlus","No",NA,NA,0,1,"NMN_67",NA
"79","596740-WOG2",1988,"Died",NA,1,0,"574531-NMN",NA,"574532-OOO",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"NMN_67",0.562841530054645,"twoPlus","No",NA,NA,NA,NA,"NMN_67",NA
"80","596749-MmwN",1988,"Died",NA,1,1,"023871-RWG",NA,"568362-YMY",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RWG_4",0.704918032786885,"one","No",8.2,8,NA,NA,"RWG_4",NA
"81","596750-BmwN2",1988,"Died",NA,1,1,"023871-RWG",NA,"568362-YMY",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RWG_4",0.704918032786885,"one","No",8.8,8,NA,NA,"RWG_4",NA
"82","596752-YmwN",1988,"Died",NA,1,1,"023871-RWG",NA,"568362-YMY",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RWG_4",0.704918032786885,"one","No",7.9,8,NA,NA,"RWG_4",NA
"83","596753-RWY",1988,"Died",5,1,1,"574741-BRN",NA,"543780-RGY",NA,NA,NA,"M",0,0,0,4,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BRN_83",0.704918032786885,"twoPlus","No",9,8,NA,NA,"BRN_83",NA
"84","596754-NRY",1988,"Died",6,1,1,"574741-BRN",NA,"543780-RGY",NA,NA,NA,"M",27,21,17,10,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BRN_83",0.704918032786885,"twoPlus","No",8.3,8,NA,NA,"BRN_83",NA
"85","596755-MbwR2",1988,"Died",NA,1,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_44",0.715846994535519,"none","No",8.1,7,NA,NA,"RBB_44",NA
"86","596756-NbwR2",1988,"Died",NA,1,0,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_44",0.715846994535519,"none","No",5.7,7,NA,NA,"RBB_44",NA
"87","596757-YbwR2",1988,"Died",NA,1,1,"543800-RBB",NA,"543751-OMM",NA,NA,NA,"U",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"RBB_44",0.715846994535519,"none","No",7.3,7,NA,NA,"RBB_44",NA
"88","596760-OYY2",1988,"Died",NA,1,1,"574751-NON",1,"476412-BGR",NA,NA,NA,"F",0,0,0,1,4,NA,NA,2.30769230769231,3.5,NA,-1.30769230769231,NA,NA,NA,"NON_100",0.562841530054645,"none","No",NA,NA,NA,NA,"NON_100",NA
"89","596761-MBM",1988,"Died",6,1,1,"543762-MMM",NA,"574719-YRN",NA,"574719-YRN",NA,"M",12,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","MMM_32",0.245901639344262,"one","No",NA,NA,0,1,"MMM_32",NA
"90","596765-GNB",1988,"Died",6,1,1,"596762-RYN",NA,"525597-YBB",NA,"543829-RYG",NA,"M",31,21,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","RYN_126",0.633879781420765,"none","No",NA,NA,1,0,"RYN_126",NA
"91","596767-MNM2",1988,"Died",NA,1,0,"574794-GRN",NA,"543779-GNG",NA,NA,NA,"F",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRN_117",0.573770491803279,"one","No",NA,NA,NA,NA,"GRN_117",NA
"92","596770-BWR",1988,"Died",1,1,1,"574794-GRN",NA,"543779-GNG",NA,NA,NA,"M",2,2,1,4,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRN_117",0.573770491803279,"one","No",NA,NA,NA,NA,"GRN_117",NA
"93","596775-MGN",1988,"Died",NA,1,1,"574800-GRY",NA,"574502-GBN",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRY_119",0.491803278688525,"twoPlus","No",NA,NA,NA,NA,"GRY_119",NA
"94","596776-WWW",1988,"Died",NA,1,1,"574800-GRY",NA,"574502-GBN",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRY_119",0.491803278688525,"twoPlus","No",NA,NA,NA,NA,"GRY_119",NA
"95","596777-WGW",1988,"Died",NA,1,1,"574800-GRY",NA,"574502-GBN",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GRY_119",0.491803278688525,"twoPlus","No",NA,NA,NA,NA,"GRY_119",NA
"96","596814-MNO",1988,"Died",3,1,1,"574507-GMB",NA,"476414-BRB",NA,NA,NA,"F",3,3,3,5,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"GMB_60",0.508196721311475,"twoPlus","No",NA,NA,NA,NA,"GMB_60",NA
"97","596819-NMR",1988,"Died",6,1,1,"574744-BNM",NA,"476401-ROW",NA,NA,NA,"M",0,0,0,1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"BNM_87",0.622950819672131,"twoPlus","No",NA,NA,NA,NA,"BNM_87",NA
"98","596829-GorB",1989,"Died",NA,1,0,"543809-ORB",NA,"476420-BRY",NA,"476420-BRY",NA,"M",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","ORB_157",0.0546448087431694,"none","No",6.3,7,0,1,"ORB_157",NA
"99","596830-YOG",1989,"Died",6,1,1,"543809-ORB",NA,"476420-BRY",NA,"476412-BGR",NA,"M",6,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","ORB_157",0.0546448087431694,"none","No",7,7,1,0,"ORB_157",NA
